"","MAP_PAR_ID","NHOOD","SUB_NHOOD"
"2553","132 0 60","Blackinton","Blackinton"
"2554","132 0 40","Blackinton","Blackinton"
"2555","132 0 41","Blackinton","Blackinton"
"2556","132 0 42","Blackinton","Blackinton"
"2557","132 0 43","Blackinton","Blackinton"
"2558","132 0 36A","Blackinton","Blackinton"
"2559","132 0 36","Blackinton","Blackinton"
"2560","132 0 35B","Blackinton","Blackinton"
"2561","132 0 37","Blackinton","Blackinton"
"2562","132 0 38","Blackinton","Blackinton"
"2563","132 0 39","Blackinton","Blackinton"
"2564","131 0 27","Blackinton","Blackinton"
"2565","100 0 11","Blackinton","Blackinton"
"2566","131 0 26","Blackinton","Blackinton"
"2567","100 0 10","Blackinton","Blackinton"
"2568","130 0 79","Brayton","Brayton"
"2569","130 0 78","Brayton","Brayton"
"2570","129 0 51","Brayton","Brayton"
"2571","104 0 16","Brayton","Brayton"
"2572","104 0 7","Brayton","Brayton"
"2573","104 0 25","Brayton","Brayton"
"2574","104 0 22","Brayton","Brayton"
"2575","104 0 21","Brayton","Brayton"
"2576","104 0 19","Brayton","Brayton"
"2577","104 0 20","Brayton","Brayton"
"2578","124 0 147","Church","Kemp"
"2579","107 0 62","Church","Kemp"
"2580","107 0 61","Church","Kemp"
"2581","106 0 17","Downtown","Downtown"
"2582","126 0 23","Downtown","Downtown"
"2583","105 0 4A","Downtown","Downtown"
"2584","104 0 33","Downtown","Downtown"
"2585","127 0 103A","Brayton","Brayton"
"2586","127 0 104","Brayton","Brayton"
"2587","104 0 30","Brayton","Brayton"
"2588","104 0 29","Brayton","Brayton"
"2589","104 0 28","Brayton","Brayton"
"2590","104 0 27","Brayton","Brayton"
"2591","104 0 26","Brayton","Brayton"
"2592","127 0 100",NA,NA
"2593","127 0 101",NA,NA
"2594","104 0 32","Downtown","Downtown"
"2595","104 0 31","Downtown","Downtown"
"2596","104 0 6E","Downtown","Downtown"
"2597","126 0 16","Downtown","Downtown"
"2598","126 0 14","Downtown","Downtown"
"2599","126 0 15","Downtown","Downtown"
"2600","126 0 44","Downtown","Downtown"
"2601","126 0 18","Downtown","Downtown"
"2602","124 0 105","Freeman","Freeman"
"2603","125 0 75","Freeman","Freeman"
"2604",NA,NA,NA
"2605","106 0 1","Freeman","Freeman"
"2606","106 0 8","Downtown","Downtown"
"2607","106 0 10","Downtown","Downtown"
"2608","106 0 6","Downtown","Downtown"
"2609","106 0 11","Downtown","Downtown"
"2610","125 0 29","Downtown","Downtown"
"2611","106 0 7","Downtown","Downtown"
"2612","106 0 21","Downtown","Downtown"
"2613","125 0 74","Freeman","Freeman"
"2614","125 0 85","Downtown","Downtown"
"2615","106 0 9","Downtown","Downtown"
"2616","106 0 2","Freeman","Freeman"
"2617","106 0 3","Freeman","Freeman"
"2618","125 0 88","Freeman","Freeman"
"2619","125 0 87","Freeman","Freeman"
"2620","125 0 76","Freeman","Freeman"
"2621","125 0 87A","Freeman","Freeman"
"2622","106 0 77","Freeman","Freeman"
"2623","106 0 78","Freeman","Freeman"
"2624","106 0 79","Freeman","Freeman"
"2625","125 0 93","Freeman","Freeman"
"2626","125 0 92","Freeman","Freeman"
"2627","124 0 106","Freeman","Freeman"
"2628","106 0 76","Freeman","Freeman"
"2629","107 0 1","Freeman","Freeman"
"2630","107 0 2","Freeman","Freeman"
"2631","107 0 41","Freeman","Freeman"
"2632","124 0 104","Freeman","Freeman"
"2633","124 0 103","Freeman","Freeman"
"2634","107 0 63","Freeman","Freeman"
"2635","107 0 63","Freeman","Freeman"
"2636","107 0 63","Freeman","Freeman"
"2637","107 0 63","Freeman","Freeman"
"2638","107 0 63","Freeman","Freeman"
"2639","107 0 63","Freeman","Freeman"
"2640","107 0 63","Freeman","Freeman"
"2641","107 0 63","Freeman","Freeman"
"2642","107 0 63","Freeman","Freeman"
"2643","107 0 63","Freeman","Freeman"
"2644","107 0 63","Freeman","Freeman"
"2645","107 0 63","Freeman","Freeman"
"2646","107 0 63","Freeman","Freeman"
"2647","107 0 63","Freeman","Freeman"
"2648","107 0 63","Freeman","Freeman"
"2649","107 0 63","Freeman","Freeman"
"2650","107 0 63","Freeman","Freeman"
"2651","107 0 63","Freeman","Freeman"
"2652","107 0 63","Freeman","Freeman"
"2653","107 0 63","Freeman","Freeman"
"2654","107 0 63","Freeman","Freeman"
"2655","107 0 63","Freeman","Freeman"
"2656","107 0 63","Freeman","Freeman"
"2657","107 0 63","Freeman","Freeman"
"2658","107 0 63","Freeman","Freeman"
"2659","124 0 120","Freeman","Freeman"
"2660","124 0 119","Freeman","Freeman"
"2661","124 0 118","Freeman","Freeman"
"2662","124 0 117","Freeman","Freeman"
"2663","124 0 116","Freeman","Freeman"
"2664","107 0 37","Freeman","Freeman"
"2665","107 0 36","Freeman","Freeman"
"2666","107 0 35B","Freeman","Freeman"
"2667","107 0 40A","Freeman","Freeman"
"2668","107 0 39A","Freeman","Freeman"
"2669","107 0 39","Freeman","Freeman"
"2670","107 0 40","Freeman","Freeman"
"2671","107 0 38","Freeman","Freeman"
"2672","107 0 54A","Freeman","Freeman"
"2673","124 0 146","Church","Kemp"
"2674","124 0 145","Church","Kemp"
"2675","124 0 144","Church","Kemp"
"2676","123 0 80","Church","Kemp"
"2677","108 0 46","Church","Kemp"
"2678","108 0 15","Church","Kemp"
"2679","108 0 16","Church","Kemp"
"2680","108 0 10","Church","Kemp"
"2681","108 0 9","Church","Kemp"
"2682","108 0 22","Church","Kemp"
"2683","107 0 60","Church","Kemp"
"2684","108 0 21","Church","Kemp"
"2685","108 0 20","Church","Kemp"
"2686","108 0 19","Church","Kemp"
"2687","108 0 18","Church","Kemp"
"2688","108 0 17","Church","Kemp"
"2689","108 0 7","Church","Kemp"
"2690","108 0 44A","Church","Kemp"
"2691","108 0 44B","Church","Kemp"
"2692","108 0 43","Church","Kemp"
"2693","123 0 67","Church","Kemp"
"2694","108 0 36","Church","Kemp"
"2695","108 0 35","Church","Kemp"
"2696","108 0 34","Church","Kemp"
"2697","108 0 42","Church","Kemp"
"2698","108 0 14","Church","Kemp"
"2699","108 0 47","Church","Kemp"
"2700","108 0 44","Church","Kemp"
"2701","108 0 45","Church","Kemp"
"2702","122 0 45","Beaver","Beaver"
"2703","109 0 17A","Beaver","Beaver"
"2704","108 0 52C","Beaver","Beaver"
"2705","108 0 50","Beaver","Beaver"
"2706","123 0 81","Church","Kemp"
"2707","123 0 85","Church","Kemp"
"2708","123 0 84","Church","Kemp"
"2709","123 0 83","Church","Kemp"
"2710","108 0 54","Beaver","Beaver"
"2711","108 0 52B","Beaver","Beaver"
"2712","108 0 52","Beaver","Beaver"
"2713","108 0 52A","Beaver","Beaver"
"2714","108 0 48","Church","Kemp"
"2715","122 0 14","Beaver","Beaver"
"2716","108 0 51","Beaver","Beaver"
"2717","109 0 1","Beaver","Beaver"
"2718","109 0 1B","Beaver","Beaver"
"2719","109 0 1A","Beaver","Beaver"
"2720","109 0 2","Beaver","Beaver"
"2721","109 0 18","Beaver","Beaver"
"2722","109 0 17","Beaver","Beaver"
"2723","122 0 46","Beaver","Beaver"
"2724","122 0 45A","Beaver","Beaver"
"2725","109 0 4","Beaver","Beaver"
"2726","109 0 3","Beaver","Beaver"
"2727","109 0 5","Beaver","Beaver"
"2728","109 0 5A","Beaver","Beaver"
"2729","109 0 16A","Beaver","Beaver"
"2730","122 0 34F","Beaver","Beaver"
"2731","122 0 34G","Beaver","Beaver"
"2732","122 0 34H","Beaver","Beaver"
"2733","109 0 15A","Beaver","Beaver"
"2734","109 0 15","Beaver","Beaver"
"2735","122 0 43B","Beaver","Beaver"
"2736","110 0 4B","Beaver","Beaver"
"2737","109 0 34","Beaver","Beaver"
"2738","109 0 31","Beaver","Beaver"
"2739","122 0 34A","Beaver","Beaver"
"2740","109 0 11A","Beaver","Beaver"
"2741","122 0 34B","Beaver","Beaver"
"2742","122 0 34C","Beaver","Beaver"
"2743","122 0 34D","Beaver","Beaver"
"2744","122 0 34E","Beaver","Beaver"
"2745","109 0 7","Beaver","Beaver"
"2746","109 0 10","Beaver","Beaver"
"2747","109 0 11D","Beaver","Beaver"
"2748","109 0 11","Beaver","Beaver"
"2749","109 0 11C","Beaver","Beaver"
"2750","122 0 37","Beaver","Beaver"
"2751","109 0 32","Beaver","Beaver"
"2752","109 0 33","Beaver","Beaver"
"2753","109 0 12","Beaver","Beaver"
"2754","109 0 9","Beaver","Beaver"
"2755","109 0 11B","Beaver","Beaver"
"2756","110 0 4A","Beaver","Beaver"
"2757","110 0 4","Beaver","Beaver"
"2758","110 0 4C","Beaver","Beaver"
"2759","4 0 15","Mohawk Tl","Mohawk Tl"
"2760","4 0 22","Mohawk Tl","Mohawk Tl"
"2761","4 0 20A","Mohawk Tl","Mohawk Tl"
"2762","108 0 24","Church","Kemp"
"2763","128 0 20","Brayton","Brayton"
"2764","131 0 34","Blackinton","Blackinton"
"2765","100 0 1","Blackinton","Blackinton"
"2766","136 0 2-5-1","West End","West End"
"2767","136 0 6&7-1","West End","West End"
"2768","136 0 8&9-1","West End","West End"
"2769","136 0 50-1","West End","West End"
"2770","4 0 20","Mohawk Tl","Mohawk Tl"
"2771","95 0 1","West End","West End"
"2772","94 0 19","Blackinton","Blackinton"
"2773","97 0 6","Blackinton","Blackinton"
"2774","97 0 3&","Blackinton","Blackinton"
"2775","95 0 34","Blackinton","Blackinton"
"2776","95 0 33","Blackinton","Blackinton"
"2777","94 0 16","Blackinton","Blackinton"
"2778","94 0 17","Blackinton","Blackinton"
"2779","94 0 18","Blackinton","Blackinton"
"2780","94 0 11","West End","West End"
"2781","94 0 10","West End","West End"
"2782","94 0 14","Blackinton","Blackinton"
"2783","94 0 12","West End","West End"
"2784","94 0 15","Blackinton","Blackinton"
"2785","94 0 12A","West End","West End"
"2786","95 0 15","Blackinton","Blackinton"
"2787","95 0 12","Blackinton","Blackinton"
"2788","95 0 10&11","Blackinton","Blackinton"
"2789","95 0 9","Blackinton","Blackinton"
"2790","95 0 8","Blackinton","Blackinton"
"2791","95 0 13","Blackinton","Blackinton"
"2792","95 0 14","Blackinton","Blackinton"
"2793","95 0 16","Blackinton","Blackinton"
"2794","95 0 17","Blackinton","Blackinton"
"2795","95 0 19","Blackinton","Blackinton"
"2796","95 0 20","Blackinton","Blackinton"
"2797","95 0 21","Blackinton","Blackinton"
"2798","95 0 32","Blackinton","Blackinton"
"2799","95 0 39-3","Blackinton","Blackinton"
"2800","95 0 35","Blackinton","Blackinton"
"2801","95 0 36","Blackinton","Blackinton"
"2802","95 0 37","Blackinton","Blackinton"
"2803","95 0 41","Blackinton","Blackinton"
"2804","95 0 40","Blackinton","Blackinton"
"2805","95 0 31","Blackinton","Blackinton"
"2806","95 0 42","Blackinton","Blackinton"
"2807","96 0 9","Blackinton","Blackinton"
"2808","2 0 8","Brayton","Brayton"
"2809","105 0 20","UNO","UNO"
"2810",NA,NA,NA
"2811","105 0 13","UNO","UNO"
"2812","80 0 67","UNO","UNO"
"2813","105 0 3","Downtown","Downtown"
"2814","105 0 19","UNO","UNO"
"2815","105 0 18","UNO","UNO"
"2816","105 0 14","UNO","UNO"
"2817","80 0 66A","UNO","UNO"
"2818","80 0 66","UNO","UNO"
"2819","80 0 65","UNO","UNO"
"2820","80 0 64","UNO","UNO"
"2821","80 0 63","UNO","UNO"
"2822","80 0 62","UNO","UNO"
"2823","80 0 61","UNO","UNO"
"2824","105 0 25","UNO","UNO"
"2825","105 0 24","UNO","UNO"
"2826","105 0 23","UNO","UNO"
"2827","105 0 22","UNO","UNO"
"2828","105 0 21","UNO","UNO"
"2829","105 0 11","UNO","UNO"
"2830","105 0 12","UNO","UNO"
"2831","80 0 72","UNO","UNO"
"2832","80 0 71","UNO","UNO"
"2833","80 0 70","UNO","UNO"
"2834","80 0 69","UNO","UNO"
"2835","80 0 68","UNO","UNO"
"2836","106 0 22","Downtown","Downtown"
"2837","79 0 2","UNO","UNO"
"2838","105 0 10A","UNO","UNO"
"2839","105 0 28","UNO","UNO"
"2840","105 0 29","UNO","UNO"
"2841","105 0 27","UNO","UNO"
"2842","105 0 9","UNO","UNO"
"2843","105 0 10","UNO","UNO"
"2844","105 0 8","Downtown","Downtown"
"2845","106 0 39","UNO","UNO"
"2846","80 0 77","UNO","UNO"
"2847","80 0 76","UNO","UNO"
"2848","80 0 75","UNO","UNO"
"2849","80 0 74","UNO","UNO"
"2850","80 0 81","UNO","UNO"
"2851","79 0 1","UNO","UNO"
"2852","106 0 23","UNO","UNO"
"2853","106 0 35","UNO","UNO"
"2854","106 0 36","UNO","UNO"
"2855","106 0 37","UNO","UNO"
"2856","106 0 38","UNO","UNO"
"2857","106 0 25A","UNO","UNO"
"2858","106 0 24","UNO","UNO"
"2859","79 0 3","UNO","UNO"
"2860","79 0 4","UNO","UNO"
"2861","79 0 5","UNO","UNO"
"2862","79 0 6","UNO","UNO"
"2863","79 0 9A","UNO","UNO"
"2864","94 0 1","West End","West End"
"2865","94 0 31","Blackinton","Blackinton"
"2866","94 0 25","Blackinton","Blackinton"
"2867","94 0 22","Blackinton","Blackinton"
"2868","94 0 5","West End","West End"
"2869","94 0 21","Blackinton","Blackinton"
"2870","94 0 9","West End","West End"
"2871","94 0 8","West End","West End"
"2872","94 0 7","West End","West End"
"2873","94 0 6","West End","West End"
"2874","98 0 5","Blackinton","Blackinton"
"2875","98 0 14","Blackinton","Blackinton"
"2876","98 0 7","Blackinton","Blackinton"
"2877","98 0 13","Blackinton","Blackinton"
"2878","98 0 12","Blackinton","Blackinton"
"2879","98 0 22","Blackinton","Blackinton"
"2880","98 0 22A","Blackinton","Blackinton"
"2881","98 0 23","Blackinton","Blackinton"
"2882","99 0 12","Blackinton","Blackinton"
"2883","99 0 10","Blackinton","Blackinton"
"2884","98 0 26","Blackinton","Blackinton"
"2885","99 0 2","Blackinton","Blackinton"
"2886","99 0 1A","Blackinton","Blackinton"
"2887","98 0 31","Blackinton","Blackinton"
"2888","98 0 32","Blackinton","Blackinton"
"2889","98 0 33","Blackinton","Blackinton"
"2890","98 0 42","Blackinton","Blackinton"
"2891","99 0 9","Blackinton","Blackinton"
"2892","99 0 13","Blackinton","Blackinton"
"2893","99 0 14","Blackinton","Blackinton"
"2894","99 0 5","Blackinton","Blackinton"
"2895","99 0 3","Blackinton","Blackinton"
"2896","99 0 1","Blackinton","Blackinton"
"2897","96 0 10","Blackinton","Blackinton"
"2898","97 0 5","Blackinton","Blackinton"
"2899","97 0 4","Blackinton","Blackinton"
"2900","97 0 32","Blackinton","Blackinton"
"2901","97 0 7","Blackinton","Blackinton"
"2902","97 0 8","Blackinton","Blackinton"
"2903","97 0 27","Blackinton","Blackinton"
"2904","97 0 28","Blackinton","Blackinton"
"2905","97 0 17","Blackinton","Blackinton"
"2906","97 0 20","Blackinton","Blackinton"
"2907","97 0 18","Blackinton","Blackinton"
"2908","97 0 19B","Blackinton","Blackinton"
"2909","97 0 19A","Blackinton","Blackinton"
"2910","97 0 24","Blackinton","Blackinton"
"2911","97 0 26","Blackinton","Blackinton"
"2912","97 0 37","Blackinton","Blackinton"
"2913","97 0 29","Blackinton","Blackinton"
"2914","97 0 25","Blackinton","Blackinton"
"2915","99 0 32","Blackinton","Blackinton"
"2916","99 0 24","Blackinton","Blackinton"
"2917","103 0 11","Brayton","Brayton"
"2918","104 0 3A","Brayton","Brayton"
"2919","98 0 1","Blackinton","Blackinton"
"2920","99 0 11","Blackinton","Blackinton"
"2921","100 0 7","Blackinton","Blackinton"
"2922","100 0 2","Blackinton","Blackinton"
"2923","99 0 26","Blackinton","Blackinton"
"2924","99 0 25","Blackinton","Blackinton"
"2925","100 0 4","Blackinton","Blackinton"
"2926","100 0 3","Blackinton","Blackinton"
"2927","100 0 7A","Blackinton","Blackinton"
"2928","100 0 5","Blackinton","Blackinton"
"2929","100 0 9A","Blackinton","Blackinton"
"2930","100 0 9B","Blackinton","Blackinton"
"2931","100 0 8","Blackinton","Blackinton"
"2932","100 0 8B","Blackinton","Blackinton"
"2933","100 0 9D","Blackinton","Blackinton"
"2934","2 0 10A",NA,NA
"2935","105& 0 1&2&",NA,NA
"2936","105& 0 1&2&",NA,NA
"2937","105& 0 1&2&",NA,NA
"2938","105& 0 1&2&",NA,NA
"2939","105& 0 1&2&",NA,NA
"2940","105& 0 1&2&",NA,NA
"2941","105& 0 1&2&",NA,NA
"2942","105& 0 1&2&",NA,NA
"2943","105& 0 1&2&",NA,NA
"2944","105& 0 1&2&",NA,NA
"2945","105& 0 1&2&",NA,NA
"2946","105& 0 1&2&",NA,NA
"2947","105& 0 1&2&",NA,NA
"2948","105& 0 1&2&",NA,NA
"2949","105& 0 1&2&",NA,NA
"2950","105& 0 1&2&",NA,NA
"2951","105& 0 1&2&",NA,NA
"2952","105& 0 1&2&",NA,NA
"2953","105& 0 1&2&",NA,NA
"2954","105& 0 1&2&",NA,NA
"2955","105& 0 1&2&",NA,NA
"2956","105& 0 1&2&",NA,NA
"2957","105& 0 1&2&",NA,NA
"2958","105& 0 1&2&",NA,NA
"2959","105& 0 1&2&",NA,NA
"2960","105& 0 1&2&","Downtown","Downtown"
"2961","81 0 98","UNO","UNO"
"2962","106 0 34","UNO","UNO"
"2963","106 0 34A","UNO","UNO"
"2964","105 0 4B&4C","Downtown","Downtown"
"2965","104 0 34","UNO","UNO"
"2966","105 0 17","UNO","UNO"
"2967","80 0 136","UNO","UNO"
"2968","81 0 150","UNO","UNO"
"2969","81 0 149","UNO","UNO"
"2970","81 0 108","UNO","UNO"
"2971","81 0 107","UNO","UNO"
"2972","81 0 159","UNO","UNO"
"2973","81 0 160","UNO","UNO"
"2974","81 0 155","UNO","UNO"
"2975","81 0 154","UNO","UNO"
"2976","81 0 153-A","UNO","UNO"
"2977","80 0 23C","UNO","UNO"
"2978","105 0 16","UNO","UNO"
"2979","80 0 137","UNO","UNO"
"2980","80 0 1A","UNO","UNO"
"2981","80 0 1","UNO","UNO"
"2982","105 0 15","UNO","UNO"
"2983","80 0 25","UNO","UNO"
"2984","80 0 24","UNO","UNO"
"2985","80 0 23B","UNO","UNO"
"2986","80 0 23A","UNO","UNO"
"2987","107 0 29","Freeman","Freeman"
"2988","107 0 7","Freeman","Freeman"
"2989","107 0 8A","Freeman","Freeman"
"2990","107 0 30","Freeman","Freeman"
"2991","106 0 51","Freeman","Freeman"
"2992","106 0 70","Freeman","Freeman"
"2993","106 0 68","Freeman","Freeman"
"2994","106 0 81","Freeman","Freeman"
"2995","106 0 86","Freeman","Freeman"
"2996","79 0 96","Freeman","Freeman"
"2997","106 0 42","UNO","UNO"
"2998","106 0 30","UNO","UNO"
"2999","106 0 46","UNO","UNO"
"3000","106 0 32","UNO","UNO"
"3001","106 0 31A","UNO","UNO"
"3002","106 0 31","UNO","UNO"
"3003","106 0 33","UNO","UNO"
"3004","106 0 40","UNO","UNO"
"3005","106 0 41","UNO","UNO"
"3006","106 0 29","UNO","UNO"
"3007","106 0 28","UNO","UNO"
"3008","106 0 27","UNO","UNO"
"3009","106 0 26","UNO","UNO"
"3010","79 0 10A","UNO","UNO"
"3011","79 0 10","UNO","UNO"
"3012","79 0 9","UNO","UNO"
"3013","79 0 14","UNO","UNO"
"3014","79 0 15","UNO","UNO"
"3015","79 0 16","UNO","UNO"
"3016","79 0 17","UNO","UNO"
"3017","79 0 18","UNO","UNO"
"3018","106 0 45","UNO","UNO"
"3019","106 0 44","UNO","UNO"
"3020","106 0 43","UNO","UNO"
"3021","106 0 69","Freeman","Freeman"
"3022","106 0 47","Freeman","Freeman"
"3023","106 0 48","Freeman","Freeman"
"3024","106 0 49","Freeman","Freeman"
"3025","106 0 50","Freeman","Freeman"
"3026","106 0 85","Freeman","Freeman"
"3027","79 0 12","UNO","UNO"
"3028","79 0 13","UNO","UNO"
"3029","79 0 11","UNO","UNO"
"3030","79 0 95","UNO","UNO"
"3031","79 0 94","UNO","UNO"
"3032","79 0 93","UNO","UNO"
"3033","106 0 74","Freeman","Freeman"
"3034","106 0 73","Freeman","Freeman"
"3035","106 0 80","Freeman","Freeman"
"3036","106 0 63","Freeman","Freeman"
"3037","106 0 56","Freeman","Freeman"
"3038","106 0 63A","Freeman","Freeman"
"3039","79 0 164","Freeman","Freeman"
"3040","106 0 55","Freeman","Freeman"
"3041","106 0 54","Freeman","Freeman"
"3042","106 0 53","Freeman","Freeman"
"3043","106 0 52","Freeman","Freeman"
"3044","106 0 72","Freeman","Freeman"
"3045","106 0 64","Freeman","Freeman"
"3046","106 0 65","Freeman","Freeman"
"3047","106 0 66","Freeman","Freeman"
"3048","79 0 97","Freeman","Freeman"
"3049","79 0 98","Freeman","Freeman"
"3050","79 0 159","Freeman","Freeman"
"3051","79 0 160","Freeman","Freeman"
"3052","79 0 161","Freeman","Freeman"
"3053","79 0 162","Freeman","Freeman"
"3054","79 0 163","Freeman","Freeman"
"3055","79 0 165","Freeman","Freeman"
"3056","79 0 166","Freeman","Freeman"
"3057","79 0 167","Freeman","Freeman"
"3058","79 0 99","Freeman","Freeman"
"3059","106 0 57","Freeman","Freeman"
"3060","106 0 58","Freeman","Freeman"
"3061","106 0 60","Freeman","Freeman"
"3062","106 0 59","Freeman","Freeman"
"3063","106 0 75","Freeman","Freeman"
"3064","106 0 61A","Freeman","Freeman"
"3065","106 0 61","Freeman","Freeman"
"3066","106 0 62","Freeman","Freeman"
"3067","107 0 6","Freeman","Freeman"
"3068","107 0 5","Freeman","Freeman"
"3069","107 0 4","Freeman","Freeman"
"3070","107 0 3","Freeman","Freeman"
"3071","79 0 157","Freeman","Freeman"
"3072","79 0 156","Freeman","Freeman"
"3073","79 0 155","Freeman","Freeman"
"3074","79 0 154","Freeman","Freeman"
"3075","79 0 152","Freeman","Freeman"
"3076","79 0 151","Freeman","Freeman"
"3077","79 0 150","Freeman","Freeman"
"3078","79 0 153","Freeman","Freeman"
"3079","79 0 158","Freeman","Freeman"
"3080","78 0 1","Freeman","Freeman"
"3081","78 0 2","Freeman","Freeman"
"3082","78 0 3","Freeman","Freeman"
"3083","107 0 42","Freeman","Freeman"
"3084","107 0 18","Freeman","Freeman"
"3085","107 0 24","Freeman","Freeman"
"3086","107 0 25","Freeman","Freeman"
"3087","107 0 12","Freeman","Freeman"
"3088","78 0 30","Freeman","Freeman"
"3089","78 0 31","Freeman","Freeman"
"3090","78 0 32","Freeman","Freeman"
"3091","107 0 11","Freeman","Freeman"
"3092","107 0 26","Freeman","Freeman"
"3093","107 0 10","Freeman","Freeman"
"3094","107 0 9","Freeman","Freeman"
"3095","107 0 8","Freeman","Freeman"
"3096","78 0 29","Freeman","Freeman"
"3097","78 0 28","Freeman","Freeman"
"3098","78 0 27","Freeman","Freeman"
"3099","78 0 25","Freeman","Freeman"
"3100","107 0 13","Freeman","Freeman"
"3101","107 0 19","Freeman","Freeman"
"3102","107 0 20","Freeman","Freeman"
"3103","107 0 21","Freeman","Freeman"
"3104","78 0 44","Freeman","Freeman"
"3105","78 0 43","Freeman","Freeman"
"3106","107 0 52","Freeman","Freeman"
"3107","107 0 64","Freeman","Freeman"
"3108","107 0 57","Freeman","Freeman"
"3109","107 0 66","Freeman","Freeman"
"3110","107 0 67","Freeman","Freeman"
"3111","107 0 48","Freeman","Freeman"
"3112","107 0 49","Freeman","Freeman"
"3113","107 0 65","Freeman","Freeman"
"3114","107 0 43","Freeman","Freeman"
"3115","107 0 44","Freeman","Freeman"
"3116","107 0 47","Freeman","Freeman"
"3117","107 0 15","Freeman","Freeman"
"3118","78 0 62","Freeman","Freeman"
"3119","78 0 61","Freeman","Freeman"
"3120","78 0 60","Freeman","Freeman"
"3121","78 0 59","Freeman","Freeman"
"3122","107 0 55&55A","Freeman","Freeman"
"3123","107 0 68","Freeman","Freeman"
"3124","107 0 69","Freeman","Freeman"
"3125","107 0 70","Freeman","Freeman"
"3126","107 0 50","Freeman","Freeman"
"3127","109 0 29","Beaver","Beaver"
"3128","108 0 12D","Church","Kemp"
"3129","108 0 11","Church","Kemp"
"3130","108 0 12C","Church","Kemp"
"3131","108 0 12B","Church","Kemp"
"3132","108 0 12A","Church","Kemp"
"3133","108 0 12","Church","Kemp"
"3134","108 0 11A","Church","Kemp"
"3135","108 0 41","Church","Kemp"
"3136","108 0 40","Church","Kemp"
"3137","108 0 13","Church","Kemp"
"3138","109 0 16","Beaver","Beaver"
"3139","109 0 19","Beaver","Beaver"
"3140","109 0 22","Beaver","Beaver"
"3141","109 0 21","Beaver","Beaver"
"3142","109 0 20","Beaver","Beaver"
"3143","109 0 28","Beaver","Beaver"
"3144","109 0 26","Beaver","Beaver"
"3145","109 0 27","Beaver","Beaver"
"3146","75 0 26","Beaver","Beaver"
"3147","75 0 33","Beaver","Beaver"
"3148","110& 0 3B","Beaver","Beaver"
"3149","109 0 14","Beaver","Beaver"
"3150","109 0 13","Beaver","Beaver"
"3151","110& 0 3A","Beaver","Beaver"
"3152","75 0 36","Beaver","Beaver"
"3153","75 0 30","Beaver","Beaver"
"3154","75 0 23","Beaver","Beaver"
"3155","75 0 29","Beaver","Beaver"
"3156","75 0 28","Beaver","Beaver"
"3157","75 0 27","Beaver","Beaver"
"3158","75 0 32","Beaver","Beaver"
"3159","75 0 31","Beaver","Beaver"
"3160","4 0 19","Mohawk Tl","Mohawk Tl"
"3161","95 0 43","Blackinton","Blackinton"
"3162","105 0 1-1","Downtown","Downtown"
"3163","106 0 67&67A","Freeman","Freeman"
"3164","2 0 10","Brayton","Brayton"
"3165","81 0 152","UNO","UNO"
"3166","97 0 32A","Blackinton","Blackinton"
"3167","99 0 35","Blackinton","Blackinton"
"3168",NA,NA,NA
"3169","98 0 25","Blackinton","Blackinton"
"3170","98 0 24","Blackinton","Blackinton"
"3171","98 0 36","Blackinton","Blackinton"
"3172","98 0 30","Blackinton","Blackinton"
"3173","98 0 37","Blackinton","Blackinton"
"3174","98 0 38","Blackinton","Blackinton"
"3175","98 0 27","Blackinton","Blackinton"
"3176","99 0 4","Blackinton","Blackinton"
"3177","81 0 104","UNO","UNO"
"3178","81 0 89","UNO","UNO"
"3179","94 0 30","Blackinton","Blackinton"
"3180","91 0 1B","Blackinton","Blackinton"
"3181","89 0 5","Blackinton","Blackinton"
"3182","95 0 29","Blackinton","Blackinton"
"3183","95 0 18","Blackinton","Blackinton"
"3184","94 0 29","Blackinton","Blackinton"
"3185","90 0 2","Blackinton","Blackinton"
"3186","95 0 22","Blackinton","Blackinton"
"3187","95 0 25","Blackinton","Blackinton"
"3188","95 0 24","Blackinton","Blackinton"
"3189","95 0 23","Blackinton","Blackinton"
"3190","95 0 27","Blackinton","Blackinton"
"3191","95 0 28","Blackinton","Blackinton"
"3192","95 0 26","Blackinton","Blackinton"
"3193","90 0 10","Blackinton","Blackinton"
"3194","90 0 12","Blackinton","Blackinton"
"3195","90 0 13","Blackinton","Blackinton"
"3196","90 0 9","Blackinton","Blackinton"
"3197","90 0 8","Blackinton","Blackinton"
"3198","90 0 7","Blackinton","Blackinton"
"3199","90 0 6","Blackinton","Blackinton"
"3200","90 0 5","Blackinton","Blackinton"
"3201","95 0 30","Blackinton","Blackinton"
"3202","90 0 11","Blackinton","Blackinton"
"3203","89 0 38","Blackinton","Blackinton"
"3204","89 0 4","Blackinton","Blackinton"
"3205","89 0 3","Blackinton","Blackinton"
"3206","89 0 2","Blackinton","Blackinton"
"3207","89 0 1","Blackinton","Blackinton"
"3208","89 0 24","Blackinton","Blackinton"
"3209","89 0 10","Blackinton","Blackinton"
"3210","89 0 9","Blackinton","Blackinton"
"3211","89 0 8","Blackinton","Blackinton"
"3212","89 0 7","Blackinton","Blackinton"
"3213","89 0 6","Blackinton","Blackinton"
"3214","83 0 13",NA,NA
"3215","2 0 14","Brayton","Brayton"
"3216","83 0 10",NA,NA
